feature,correlated_feature,correlation
ActivePower,GenPhase1Temperature,0.918523084684233
GenPhase1Temperature,ActivePower,0.918523084684233
GearGravityTankOilPress,GearHydrCoolingWaterPumpPress,0.9099019116499261
GearHydrCoolingWaterPumpPress,GearGravityTankOilPress,0.9099019116499261
GearGravityTankOilPress,GridFrequency,0.9094825885379554
GridFrequency,GearGravityTankOilPress,0.9094825885379554
BladeBPitchBlockCylindPress,GridFrequency,0.9047769921632609
GridFrequency,BladeBPitchBlockCylindPress,0.9047769921632609
BladeAPitchBlockManOilPress,BladeBPitchBlockManOilPress,0.9046202090658595
BladeBPitchBlockManOilPress,BladeAPitchBlockManOilPress,0.9046202090658595
GenCoolingWaterLevel,GridFrequency,0.9045285583053643
GridFrequency,GenCoolingWaterLevel,0.9045285583053643
BladeBPitchBlockManOilPress,GridFrequency,0.9006682504500437
GridFrequency,BladeBPitchBlockManOilPress,0.9006682504500437
